xintercept	showSelected1	showSelected2	PANEL
60.057755	4	5	1
60.057755	4.05	5	1
60.057755	4.1	5	1
60.057755	4.15	5	1
60.057755	4.2	5	1
60.057755	4.25	5	1
60.057755	4.3	5	1
60.057755	4.35	5	1
60.057755	4.4	5	1
60.057755	4.45	5	1
60.057755	4.5	5	1
60.057755	4.55	5	1
60.057755	4.6	5	1
60.057755	4.65	5	1
60.057755	4.66816745440284	4	1
60.057755	4.7	4	1
60.057755	4.7	5	1
60.057755	4.75	4	1
60.057755	4.75	5	1
60.057755	4.8	4	1
60.057755	4.8	5	1
60.057755	4.84102739939653	4	1
60.057755	4.85	4	1
60.057755	4.9	4	1
60.057755	4.91980750606868	3	1
60.057755	4.95	3	1
60.057755	4.95	4	1
60.057755	5	3	1
60.057755	5	4	1
60.057755	5.05	3	1
60.057755	5.05	4	1
60.057755	5.09266745106238	3	1
60.057755	5.1	3	1
60.057755	5.15	3	1
60.057755	5.16792151301062	3	1
60.057755	5.2	3	1
60.057755	5.25	3	1
60.057755	5.3	3	1
60.057755	5.35	3	1
60.057755	5.4	3	1
60.057755	5.41956156467646	3	1
60.057755	5.45	3	1
60.057755	5.46103520669639	2	1
60.057755	5.5	2	1
60.057755	5.5	3	1
60.057755	5.55	2	1
60.057755	5.55	3	1
60.057755	5.6	2	1
60.057755	5.6	3	1
60.057755	5.63389515169009	2	1
60.057755	5.65	2	1
60.057755	5.7	2	1
60.057755	5.75	2	1
60.057755	5.8	2	1
60.057755	5.85	2	1
60.057755	5.9	2	1
60.057755	5.95	2	1
60.057755	5.96078926530417	2	1
60.057755	6	2	1
60.057755	6.05	2	1
60.057755	6.1	2	1
60.057755	6.15	2	1
60.057755	6.2	2	1
60.057755	6.25	2	1
60.057755	6.3	2	1
60.057755	6.35	2	1
60.057755	6.4	2	1
60.057755	6.45	2	1
60.057755	6.5	2	1
148.4446305	4	6	1
149.0570905	4	6	1
148.4446305	4.05	6	1
149.0570905	4.05	6	1
148.4446305	4.1	6	1
149.0570905	4.1	6	1
148.4446305	4.15	6	1
149.0570905	4.15	6	1
148.4446305	4.2	6	1
149.0570905	4.2	6	1
148.4446305	4.25	6	1
149.0570905	4.25	6	1
148.4446305	4.3	6	1
149.0570905	4.3	6	1
148.4446305	4.35	6	1
149.0570905	4.35	6	1
148.4446305	4.4	6	1
149.0570905	4.4	6	1
148.4446305	4.45	6	1
149.0570905	4.45	6	1
148.4446305	4.5	6	1
149.0570905	4.5	6	1
148.4446305	4.55	6	1
149.0570905	4.55	6	1
148.4446305	4.6	6	1
149.0570905	4.6	6	1
148.4446305	4.65	6	1
149.0570905	4.65	6	1
148.4446305	4.66816745440284	5	1
149.0570905	4.66816745440284	5	1
148.4446305	4.7	6	1
149.0570905	4.7	6	1
148.4446305	4.75	6	1
149.0570905	4.75	6	1
148.4446305	4.8	6	1
149.0570905	4.8	6	1
148.4446305	4.84102739939653	5	1
149.0570905	4.84102739939653	5	1
148.4446305	4.85	5	1
149.0570905	4.85	5	1
148.4446305	4.85	6	1
149.0570905	4.85	6	1
148.4446305	4.9	5	1
149.0570905	4.9	5	1
148.4446305	4.9	6	1
149.0570905	4.9	6	1
148.4446305	4.91980750606868	4	1
149.0570905	4.91980750606868	4	1
148.4446305	4.91980750606868	5	1
149.0570905	4.91980750606868	5	1
148.4446305	4.95	5	1
149.0570905	4.95	5	1
148.4446305	4.95	6	1
149.0570905	4.95	6	1
148.4446305	5	5	1
149.0570905	5	5	1
148.4446305	5	6	1
149.0570905	5	6	1
148.4446305	5.05	5	1
149.0570905	5.05	5	1
148.4446305	5.05	6	1
149.0570905	5.05	6	1
148.4446305	5.09266745106238	4	1
149.0570905	5.09266745106238	4	1
148.4446305	5.09266745106238	5	1
149.0570905	5.09266745106238	5	1
148.4446305	5.1	4	1
149.0570905	5.1	4	1
148.4446305	5.1	5	1
149.0570905	5.1	5	1
148.4446305	5.1	6	1
149.0570905	5.1	6	1
148.4446305	5.15	4	1
149.0570905	5.15	4	1
148.4446305	5.15	5	1
149.0570905	5.15	5	1
148.4446305	5.15	6	1
149.0570905	5.15	6	1
148.4446305	5.16792151301062	4	1
149.0570905	5.16792151301062	4	1
148.4446305	5.16792151301062	5	1
149.0570905	5.16792151301062	5	1
148.4446305	5.2	4	1
149.0570905	5.2	4	1
148.4446305	5.2	5	1
149.0570905	5.2	5	1
148.4446305	5.25	4	1
149.0570905	5.25	4	1
148.4446305	5.25	5	1
149.0570905	5.25	5	1
148.4446305	5.3	4	1
149.0570905	5.3	4	1
148.4446305	5.3	5	1
149.0570905	5.3	5	1
148.4446305	5.35	4	1
149.0570905	5.35	4	1
148.4446305	5.35	5	1
149.0570905	5.35	5	1
148.4446305	5.4	4	1
149.0570905	5.4	4	1
148.4446305	5.4	5	1
149.0570905	5.4	5	1
148.4446305	5.41956156467646	4	1
149.0570905	5.41956156467646	4	1
148.4446305	5.45	4	1
149.0570905	5.45	4	1
148.4446305	5.46103520669639	3	1
149.0570905	5.46103520669639	3	1
148.4446305	5.5	4	1
149.0570905	5.5	4	1
148.4446305	5.55	4	1
149.0570905	5.55	4	1
148.4446305	5.6	4	1
149.0570905	5.6	4	1
148.4446305	5.63389515169009	3	1
149.0570905	5.63389515169009	3	1
148.4446305	5.65	3	1
149.0570905	5.65	3	1
148.4446305	5.65	4	1
149.0570905	5.65	4	1
148.4446305	5.7	3	1
149.0570905	5.7	3	1
148.4446305	5.7	4	1
149.0570905	5.7	4	1
148.4446305	5.75	3	1
149.0570905	5.75	3	1
148.4446305	5.75	4	1
149.0570905	5.75	4	1
148.4446305	5.8	3	1
149.0570905	5.8	3	1
148.4446305	5.8	4	1
149.0570905	5.8	4	1
148.4446305	5.85	3	1
149.0570905	5.85	3	1
148.4446305	5.85	4	1
149.0570905	5.85	4	1
148.4446305	5.9	3	1
149.0570905	5.9	3	1
148.4446305	5.9	4	1
149.0570905	5.9	4	1
148.4446305	5.95	3	1
149.0570905	5.95	3	1
148.4446305	5.95	4	1
149.0570905	5.95	4	1
148.4446305	5.96078926530417	3	1
149.0570905	5.96078926530417	3	1
148.4446305	6	3	1
149.0570905	6	3	1
148.4446305	6.05	3	1
149.0570905	6.05	3	1
148.4446305	6.1	3	1
149.0570905	6.1	3	1
148.4446305	6.15	3	1
149.0570905	6.15	3	1
148.4446305	6.2	3	1
149.0570905	6.2	3	1
148.4446305	6.25	3	1
149.0570905	6.25	3	1
148.4446305	6.3	3	1
149.0570905	6.3	3	1
148.4446305	6.35	3	1
149.0570905	6.35	3	1
148.4446305	6.4	3	1
149.0570905	6.4	3	1
148.4446305	6.45	3	1
149.0570905	6.45	3	1
148.4446305	6.5	3	1
149.0570905	6.5	3	1
60.057755	4	7	1
76.93522	4	7	1
148.4446305	4	7	1
149.0570905	4	7	1
60.057755	4.05	7	1
76.93522	4.05	7	1
148.4446305	4.05	7	1
149.0570905	4.05	7	1
60.057755	4.1	7	1
76.93522	4.1	7	1
148.4446305	4.1	7	1
149.0570905	4.1	7	1
60.057755	4.15	7	1
76.93522	4.15	7	1
148.4446305	4.15	7	1
149.0570905	4.15	7	1
60.057755	4.2	7	1
76.93522	4.2	7	1
148.4446305	4.2	7	1
149.0570905	4.2	7	1
60.057755	4.25	7	1
76.93522	4.25	7	1
148.4446305	4.25	7	1
149.0570905	4.25	7	1
60.057755	4.3	7	1
76.93522	4.3	7	1
148.4446305	4.3	7	1
149.0570905	4.3	7	1
60.057755	4.35	7	1
76.93522	4.35	7	1
148.4446305	4.35	7	1
149.0570905	4.35	7	1
60.057755	4.4	7	1
76.93522	4.4	7	1
148.4446305	4.4	7	1
149.0570905	4.4	7	1
60.057755	4.45	7	1
76.93522	4.45	7	1
148.4446305	4.45	7	1
149.0570905	4.45	7	1
60.057755	4.5	7	1
76.93522	4.5	7	1
148.4446305	4.5	7	1
149.0570905	4.5	7	1
60.057755	4.55	7	1
76.93522	4.55	7	1
148.4446305	4.55	7	1
149.0570905	4.55	7	1
60.057755	4.6	7	1
76.93522	4.6	7	1
